fraction,task,seed,model,threshold,macro_f1,micro_f1,prediction
100pct,form,55,clear_hug,0.5,0.16072648904611944,0.3958785249457701,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-six-task-three-fraction-seeds52-61-20260910\100pct\form-seed55\formal-test\hug\test_predictions.npz
100pct,form,55,heartlang,0.5,0.14935613316559584,0.37163814180929094,C:\Users\14014\Desktop\CLEAR-HUG\src\CLEAR-HUG\results\q1-heartlang-stmem-linear-probe-seeds42-46-55-20260914\100pct\form-seed55\heartlang\formal-test\test_predictions.npz
100pct,form,55,hilar,0.5,0.2552145356999944,0.5007874015748032,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-six-task-three-fraction-seeds52-61-20260910\100pct\form-seed55\formal-test\paired\test_predictions.npz
100pct,rhythm,42,clear_hug,0.5,0.31707090329325355,0.8685468451242829,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-clear-deepsets-hilar-10seed-20260903\assembled\rhythm-seed42\formal-test\hug\test_predictions.npz
100pct,rhythm,42,heartlang,0.5,0.3146474075257295,0.8565891472868217,C:\Users\14014\Desktop\CLEAR-HUG\src\CLEAR-HUG\results\q1-heartlang-stmem-linear-probe-seeds42-46-55-20260914\100pct\rhythm-seed42\heartlang\formal-test\test_predictions.npz
100pct,rhythm,42,hilar,0.5,0.45409974476193565,0.8976490144858703,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-clear-deepsets-hilar-10seed-20260903\assembled\rhythm-seed42\formal-test\paired\test_predictions.npz
100pct,rhythm,46,clear_hug,0.5,0.3041578427977172,0.8647492274780129,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-clear-deepsets-hilar-10seed-20260903\assembled\rhythm-seed46\formal-test\hug\test_predictions.npz
100pct,rhythm,46,heartlang,0.5,0.29753722986178205,0.859942638623327,C:\Users\14014\Desktop\CLEAR-HUG\src\CLEAR-HUG\results\q1-heartlang-stmem-linear-probe-seeds42-46-55-20260914\100pct\rhythm-seed46\heartlang\formal-test\test_predictions.npz
100pct,rhythm,46,hilar,0.5,0.380763963532035,0.8931297709923665,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-clear-deepsets-hilar-10seed-20260903\assembled\rhythm-seed46\formal-test\paired\test_predictions.npz
100pct,rhythm,55,clear_hug,0.5,0.29950647162139415,0.8633672744494435,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-six-task-three-fraction-seeds52-61-20260910\100pct\rhythm-seed55\formal-test\hug\test_predictions.npz
100pct,rhythm,55,heartlang,0.5,0.3105488506168134,0.8555582348685797,C:\Users\14014\Desktop\CLEAR-HUG\src\CLEAR-HUG\results\q1-heartlang-stmem-linear-probe-seeds42-46-55-20260914\100pct\rhythm-seed55\heartlang\formal-test\test_predictions.npz
100pct,rhythm,55,hilar,0.5,0.3774863755904542,0.8934543717152413,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-six-task-three-fraction-seeds52-61-20260910\100pct\rhythm-seed55\formal-test\paired\test_predictions.npz
100pct,cpsc2018,42,clear_hug,0.5,0.48374805030395873,0.559322033898305,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-clear-deepsets-hilar-10seed-20260903\assembled\cpsc2018-seed42\formal-test\hug\test_predictions.npz
100pct,cpsc2018,42,heartlang,0.5,0.2528152530995322,0.37716615698267075,C:\Users\14014\Desktop\CLEAR-HUG\src\CLEAR-HUG\results\q1-heartlang-stmem-linear-probe-seeds42-46-55-20260914\100pct\cpsc2018-seed42\heartlang\formal-test\test_predictions.npz
100pct,cpsc2018,42,hilar,0.5,0.6489969167802045,0.7322604242867593,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-clear-deepsets-hilar-10seed-20260903\assembled\cpsc2018-seed42\formal-test\paired\test_predictions.npz
100pct,cpsc2018,46,clear_hug,0.5,0.49013320861013415,0.5436643835616438,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-clear-deepsets-hilar-10seed-20260903\assembled\cpsc2018-seed46\formal-test\hug\test_predictions.npz
100pct,cpsc2018,46,heartlang,0.5,0.2758263346723837,0.39558232931726905,C:\Users\14014\Desktop\CLEAR-HUG\src\CLEAR-HUG\results\q1-heartlang-stmem-linear-probe-seeds42-46-55-20260914\100pct\cpsc2018-seed46\heartlang\formal-test\test_predictions.npz
100pct,cpsc2018,46,hilar,0.5,0.6672229238816954,0.7254833040421793,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-clear-deepsets-hilar-10seed-20260903\assembled\cpsc2018-seed46\formal-test\paired\test_predictions.npz
100pct,cpsc2018,55,clear_hug,0.5,0.5018330303971331,0.5826446280991735,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-six-task-three-fraction-seeds52-61-20260910\100pct\cpsc2018-seed55\formal-test\hug\test_predictions.npz
100pct,cpsc2018,55,heartlang,0.5,0.2722127489146269,0.387227572225038,C:\Users\14014\Desktop\CLEAR-HUG\src\CLEAR-HUG\results\q1-heartlang-stmem-linear-probe-seeds42-46-55-20260914\100pct\cpsc2018-seed55\heartlang\formal-test\test_predictions.npz
100pct,cpsc2018,55,hilar,0.5,0.6867219766824664,0.742696233720521,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-six-task-three-fraction-seeds52-61-20260910\100pct\cpsc2018-seed55\formal-test\paired\test_predictions.npz
100pct,csn,42,clear_hug,0.5,0.28026516422439895,0.6386772106398274,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-clear-deepsets-hilar-10seed-20260903\assembled\csn-seed42\formal-test\hug\test_predictions.npz
100pct,csn,42,heartlang,0.5,0.2456356030771989,0.6325704499455084,C:\Users\14014\Desktop\CLEAR-HUG\src\CLEAR-HUG\results\q1-heartlang-stmem-linear-probe-seeds42-46-55-20260914\100pct\csn-seed42\heartlang\formal-test\test_predictions.npz
100pct,csn,42,hilar,0.5,0.34030661124016637,0.7394422310756972,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-clear-deepsets-hilar-10seed-20260903\assembled\csn-seed42\formal-test\paired\test_predictions.npz
100pct,csn,46,clear_hug,0.5,0.2946213067309996,0.5989628931241161,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-clear-deepsets-hilar-10seed-20260903\assembled\csn-seed46\formal-test\hug\test_predictions.npz
100pct,csn,46,heartlang,0.5,0.2533367722659623,0.6339782251116158,C:\Users\14014\Desktop\CLEAR-HUG\src\CLEAR-HUG\results\q1-heartlang-stmem-linear-probe-seeds42-46-55-20260914\100pct\csn-seed46\heartlang\formal-test\test_predictions.npz
100pct,csn,46,hilar,0.5,0.34577335361172706,0.7282852390250958,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-clear-deepsets-hilar-10seed-20260903\assembled\csn-seed46\formal-test\paired\test_predictions.npz
100pct,csn,55,clear_hug,0.5,0.28010236828708923,0.6398372802557024,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-six-task-three-fraction-seeds52-61-20260910\100pct\csn-seed55\formal-test\hug\test_predictions.npz
100pct,csn,55,heartlang,0.5,0.24952318026930712,0.6326957329822659,C:\Users\14014\Desktop\CLEAR-HUG\src\CLEAR-HUG\results\q1-heartlang-stmem-linear-probe-seeds42-46-55-20260914\100pct\csn-seed55\heartlang\formal-test\test_predictions.npz
100pct,csn,55,hilar,0.5,0.3758474431729084,0.7349088640931457,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-six-task-three-fraction-seeds52-61-20260910\100pct\csn-seed55\formal-test\paired\test_predictions.npz
10pct,superdiagnostic,42,clear_hug,0.5,0.49017716541680245,0.6039434204886412,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-six-task-low-label-10seed-20260909\10pct\superdiagnostic-seed42\formal-test\hug\test_predictions.npz
10pct,superdiagnostic,42,heartlang,0.5,0.5787260620174428,0.6523656776263032,C:\Users\14014\Desktop\CLEAR-HUG\src\CLEAR-HUG\results\q1-heartlang-stmem-linear-probe-seeds42-46-55-20260914\10pct\superdiagnostic-seed42\heartlang\formal-test\test_predictions.npz
10pct,superdiagnostic,42,hilar,0.5,0.5885663782147839,0.6907176287051482,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-six-task-low-label-10seed-20260909\10pct\superdiagnostic-seed42\formal-test\paired\test_predictions.npz
10pct,superdiagnostic,46,clear_hug,0.5,0.521536609100538,0.6383133406034169,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-six-task-low-label-10seed-20260909\10pct\superdiagnostic-seed46\formal-test\hug\test_predictions.npz
10pct,superdiagnostic,46,heartlang,0.5,0.586605172357992,0.6493975903614457,C:\Users\14014\Desktop\CLEAR-HUG\src\CLEAR-HUG\results\q1-heartlang-stmem-linear-probe-seeds42-46-55-20260914\10pct\superdiagnostic-seed46\heartlang\formal-test\test_predictions.npz
10pct,superdiagnostic,46,hilar,0.5,0.6165593138741452,0.6963360828697487,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-six-task-low-label-10seed-20260909\10pct\superdiagnostic-seed46\formal-test\paired\test_predictions.npz
10pct,superdiagnostic,55,clear_hug,0.5,0.502062964251022,0.6020430341230167,C:\Users\14014\Desktop\CLEAR-HUG\results\q1-six-task-three-fraction-seeds52-61-20260910\10pct\superdiagnostic-seed55\formal-test\hug\test_predictions.npz
10pct,superdiagnostic,55,heartlang,0.5,0.5855489186655182,0.6483316481294237,C:\Users\14014\Desktop\CLEAR-HUG\src\CLEAR-HUG\results\q1-heartlang-stmem-linear-probe-seeds42-46-55-20260914\10pct\superdiagnostic-seed55\heartlang\formal-test\test_predictions.npz
