model,silhouette,davies_bouldin,records
HUG,0.05807986884027823,2.590996832851867,1650
Identity-aware DeepSets,0.13395930831114625,1.9483952392424952,1650
HiLAR,0.1327567849226788,1.8953736069633522,1650
